Location,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,Cost,Reviewer,Rec,overall
rigoberto's taco shop,3.0,3.0,4.5,4.0,4.5,4.0,4.5,4.5,4.5,6.6,scott,Yes,4.5
rigoberto's taco shop,3.0,3.0,5.0,3.5,3.0,4.5,2.5,3.0,4.0,6.6,scott,Yes,3.6
rigoberto's taco shop,3.5,3.0,5.0,3.5,2.5,3.0,2.5,3.75,4.0,7.45,bankole,No,3.0
rudy's taco shop,3.5,3.5,3.0,4.0,4.5,3.0,1.0,3.0,0.5,6.6,scott,No,2.8
rudy's taco shop,3.0,3.0,2.5,3.0,4.0,2.0,1.0,3.0,5.0,6.6,emily,No,3.0
taco stand,3.5,3.0,2.0,4.5,4.0,4.0,1.5,4.5,4.5,7.89,scott,Yes,4.4
taco stand,2.0,3.0,2.5,4.5,3.5,4.5,3.0,4.0,5.0,7.89,richard,Yes,3.5
california burritos,4.0,4.5,4.5,2.5,3.5,3.5,3.5,3.0,5.0,6.25,scott,Yes,4.1
california burritos,3.5,4.0,4.0,4.0,2.5,3.0,3.5,4.0,5.0,6.25,brent,No,4.0
california burritos,4.0,4.0,4.5,4.5,5.0,5.0,5.0,4.5,5.0,6.25,luis,Yes,4.6
jorge's mexicatessen,3.5,2.5,2.5,3.5,4.0,3.0,4.5,4.0,4.5,5.95,scott,Yes,3.8
senor grubby's,2.0,2.0,3.5,3.0,1.5,1.0,1.0,2.5,3.5,9.0,scott,No,1.5
senor grubby's,2.0,2.5,2.5,1.5,2.5,1.0,2.0,2.5,5.0,9.0,emily,No,1.8
taco stand,4.0,4.5,5.0,5.0,5.0,4.5,5.0,3.0,5.0,8.0,sage,Yes,4.9
mi asador mexican & seafood,3.0,3.0,2.5,3.0,2.5,2.5,2.0,3.5,4.0,6.89,scott,No,3.0
mi asador mexican & seafood,3.0,4.0,3.0,2.5,3.5,3.0,3.0,3.5,3.5,6.39,emily,Yes,3.5
sotos mexican food,3.0,4.5,4.0,3.0,4.0,1.0,3.0,4.5,4.5,6.75,scott,Yes,3.5
sotos mexican food,2.0,4.0,2.0,2.5,4.0,4.0,3.0,3.5,5.0,5.99,emily,No,3.2
taco stand,3.5,3.5,4.0,4.0,4.0,3.5,3.0,4.0,3.0,7.49,scott,Yes,4.2
taco stand,4.0,4.0,3.5,4.0,4.0,4.5,5.0,4.5,4.5,7.49,ricardo,Yes,4.5
taco stand,4.0,3.0,3.0,4.0,3.5,3.5,4.0,3.5,2.5,7.49,luis,Yes,3.7
taco stand,3.0,4.0,2.0,5.0,5.0,1.0,3.0,5.0,3.0,7.49,elynn,Yes,4.0
taco stand,1.0,4.0,3.0,4.0,4.5,5.0,4.5,3.0,4.0,7.49,sandra,Yes,4.0
taco stand,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,7.89,brent,Yes,3.5
vallarta express,4.0,3.0,3.5,2.0,3.5,3.0,2.5,2.5,2.0,6.95,scott,No,2.9
lolita's taco shop,3.5,3.0,5.0,3.0,3.5,3.0,1.5,3.0,4.0,7.0,scott,No,3.3
lolita's taco shop,3.0,3.0,4.0,2.7,4.7,3.0,2.4,2.0,4.5,8.75,bankole,Yes,3.7
lolita's taco shop,4.0,4.5,3.8,3.8,4.5,3.4,1.5,3.0,4.0,8.75,katie,Yes,3.8
rigoberto's taco shop,4.0,3.0,4.5,2.5,2.0,3.5,5.0,1.5,1.5,6.65,scott,No,2.5
rigoberto's taco shop,4.0,4.0,3.5,4.0,4.0,3.5,4.0,4.0,4.5,6.6,ricardo,Yes,4.0
rigoberto's taco shop,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,7.5,elynn,Yes,4.0
karina's taco shop,3.0,4.0,4.0,4.0,3.5,2.5,3.5,4.0,2.5,7.99,scott,Yes,3.7
karina's taco shop,2.5,3.5,4.0,3.5,3.5,3.0,1.0,4.0,4.5,6.99,emily,Yes,3.8
juanita's taco shop,3.5,4.0,4.5,3.0,3.0,5.0,3.0,4.0,5.0,5.55,scott,Yes,3.5
juanita's taco shop,2.5,4.5,4.0,3.5,4.0,3.5,4.0,3.0,5.0,5.55,emily,Yes,3.9
goody's,3.5,1.5,1.0,2.0,2.0,2.0,2.0,2.0,1.0,7.25,scott,No,1.8
taco surf pb,3.5,4.0,2.0,4.0,5.0,4.0,2.0,4.0,5.0,7.14,scott,Yes,4.4
taco surf pb,5.0,4.0,2.0,4.5,4.0,3.5,2.0,3.0,4.0,7.14,sage,Yes,4.1
taco surf pb,3.2,4.5,2.0,3.3,3.4,4.5,4.5,3.8,5.0,6.02,dan,Yes,3.7
roberto's very mexican food,2.0,1.5,4.0,2.0,2.0,4.5,1.0,1.0,5.0,6.5,scott,No,1.5
roberto's very mexican food,3.0,2.0,3.5,4.0,2.5,3.5,1.5,1.5,5.0,5.4,emily,No,2.7
netos mexican food,4.0,4.5,5.0,3.0,4.0,2.0,2.0,2.0,4.0,5.99,scott,Yes,3.2
netos mexican food,3.0,3.5,4.0,3.5,3.0,3.5,3.5,2.5,2.5,5.5,emily,Yes,3.0
lolita's taco shop,4.0,1.5,2.5,3.0,4.5,4.0,2.0,2.75,3.0,6.25,scott,No,2.6
lolita's taco shop,3.5,3.0,3.0,4.0,4.0,3.5,3.5,2.5,0.5,8.95,emily,Yes,3.0
los primos mexican food,4.0,3.0,5.0,3.5,3.5,4.0,4.0,2.5,5.0,7.5,sage,Yes,3.5
el nopalito,2.0,3.0,4.0,1.5,2.0,3.0,5.0,3.0,5.0,4.87,scott,No,2.6
el nopalito,2.5,3.5,3.0,2.5,2.4,3.5,4.5,3.0,1.5,4.87,emily,No,2.6
los primos mexican food,3.0,4.5,4.0,3.5,4.0,1.0,1.0,2.0,4.0,7.0,ricardo,No,2.5
los primos mexican food,2.5,3.0,4.0,3.0,2.0,1.5,1.0,3.0,3.0,6.25,erin,No,2.0
los primos mexican food,4.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,6.0,elynn,No,2.0
los primos mexican food,3.0,4.0,3.5,4.0,4.0,2.0,4.0,4.0,3.0,6.0,rob,Yes,3.8
los primos mexican food,4.5,4.0,4.0,2.5,2.0,3.0,2.0,2.0,3.0,6.35,matteo,No,2.0
los tacos,3.5,3.5,4.5,4.5,4.0,1.5,1.5,3.0,5.0,7.9,scott,Yes,3.5
los tacos,3.5,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.5,8.5,emily,Yes,4.2
taco stand,3.5,4.0,3.5,4.0,3.5,4.0,5.0,2.5,4.5,6.99,scott,Yes,3.9
taco stand,5.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,6.99,brad p,Yes,3.5
albertacos,3.5,3.5,3.0,3.0,4.0,1.5,4.0,4.0,4.0,5.7,scott,Yes,3.7
albertacos,4.0,3.5,3.0,2.8,3.5,4.0,4.0,4.0,5.0,5.25,emily,Yes,3.2
el rey moro,2.8,3.5,4.5,4.0,3.5,5.0,4.5,3.0,5.0,9.19,scott,Yes,4.0
el dorado mexican food,4.0,4.0,4.0,4.0,4.5,3.2,3.0,4.5,2.0,6.94,scott,Yes,4.5
el dorado mexican food,3.75,3.5,3.5,3.5,3.5,4.0,4.0,4.5,4.5,6.94,emily,Yes,3.8
lolita's taco shop,2.2,2.8,3.0,3.0,2.0,2.0,4.5,2.0,4.5,7.0,scott,No,2.3
lolita's taco shop,3.5,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,7.0,cris,Yes,4.0
lolita's taco shop,3.0,3.5,2.0,3.0,4.0,2.0,4.0,3.0,4.0,7.0,matt,No,3.0
lolita's taco shop,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,8.25,marc,Yes,3.5
california burritos,3.0,3.8,1.3,3.5,3.5,4.5,4.5,3.5,5.0,6.25,scott,Yes,3.9
california burritos,4.5,4.0,4.0,4.5,4.0,4.0,3.5,4.0,4.5,6.25,ricardo,Yes,4.25
california burritos,4.0,3.0,2.5,4.0,4.0,4.0,2.0,2.0,4.0,6.25,elynn,Yes,4.0
california burritos,4.0,4.0,3.5,4.5,4.0,4.5,4.0,4.5,5.0,6.25,luis,Yes,4.5
california burritos,4.5,5.0,4.0,5.0,4.0,4.5,4.0,4.0,4.0,5.5,matteo,Yes,4.5
california burritos,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,6.25,brent,Yes,4.0
california burritos,4.5,4.0,5.0,4.5,4.0,4.5,4.0,3.0,5.0,6.25,daniel,Yes,4.5
california burritos,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,6.25,alejandro,Yes,4.2
